evid,event_lat,event_lon,event_depth,magnitude,magnitude_type,origin_time
60035432,44.7496667,-110.7615,3.1,0.43,d,1378310278.34
60035517,44.7511667,-110.774,7.45,2.09,l,1378357180.2
60035547,44.7498333,-110.78066670000001,8.02,1.48,l,1378375286.97
60035552,44.7438333,-110.78299999999999,4.78,-0.22,d,1378375678.65
60035707,44.7465,-110.77766670000001,5.79,-9.99,h,1378506363.9
60036277,44.7738333,-110.7625,11.12,0.91,l,1378892706.46
60036367,44.7361667,-110.77799999999999,2.07,0.95,l,1378956693.03
60036872,44.7643333,-110.7685,10.5,1.62,l,1379065563.21
60036882,44.7625,-110.77133329999998,7.86,1.51,l,1379065856.87
60036922,44.7523333,-110.78933329999998,4.11,3.48,l,1379076960.72
60036927,44.7456667,-110.77883329999999,8.5,2.85,l,1379077119.85
60036932,44.7498333,-110.78083329999998,5.55,1.74,l,1379077650.2
60036942,44.7468333,-110.785,8.32,2.3,l,1379077986.17
60036957,44.7516667,-110.7825,7.86,1.41,l,1379078188.74
60036962,44.7421667,-110.7885,3.15,0.14,d,1379078347.25
60036987,44.7516667,-110.77583329999999,6.46,1.37,l,1379079648.54
60036992,44.7535,-110.78666670000001,6.82,1.55,l,1379079665.37
60037002,44.741833299999996,-110.78383329999998,4.92,0.38,d,1379079695.87
60037007,44.7471667,-110.78483329999999,4.72,1.03,l,1379080139.8
60037047,44.7386667,-110.77799999999999,4.24,0.68,d,1379082359.86
60037157,44.758,-110.77266670000002,6.91,1.33,l,1379092709.66
60037167,44.738833299999996,-110.7796667,2.16,0.52,d,1379092709.96
60037177,44.7456667,-110.7915,6.77,1.7,l,1379099579.15
60037182,44.743333299999996,-110.78966670000001,5.82,1.61,l,1379099579.27
60037187,44.7461667,-110.7855,7.93,1.61,l,1379099777.07
60037197,44.7415,-110.7855,2.51,0.77,l,1379100384.85
60037217,44.754,-110.78266670000001,2.06,0.74,l,1379108344.58
60037222,44.7511667,-110.77733329999998,8.48,1.66,l,1379113260.76
60037227,44.7598333,-110.77533329999999,8.25,1.52,l,1379114027.43
60037287,44.7738333,-110.7755,5.24,0.74,l,1379163330.8
60037812,44.7431667,-110.78133329999999,2.23,0.43,d,1379277938.38
60038362,44.7236667,-110.6435,5.49,1.95,l,1379656657.43
60038522,44.7476667,-110.77816670000001,8.95,1.62,l,1379824646.57
60038597,44.8203333,-110.74733329999998,5.18,0.92,d,1379926279.03
60038612,44.8645,-110.7105,17.89,0.33,d,1379940093.14
60038682,44.733999999999995,-110.7765,5.29,3.17,l,1380018264.0
60038692,44.750666700000004,-110.77600000000001,7.09,1.45,l,1380018687.04
60038697,44.7488333,-110.7735,7.92,2.35,l,1380018747.42
60038702,44.7505,-110.766,9.7,1.17,l,1380019044.72
60038707,44.7453333,-110.7858333,4.88,1.18,l,1380019737.96
60038712,44.7355,-110.78066670000001,3.08,0.4,d,1380019701.56
60038717,44.7393333,-110.77933329999999,2.29,1.27,l,1380019967.33
60038722,44.7405,-110.78216670000002,5.43,0.86,d,1380022262.61
60038732,44.7415,-110.77866670000002,2.56,0.48,d,1380027901.85
60038737,44.7446667,-110.7706667,7.68,1.43,d,1380029375.52
60038742,44.7378333,-110.77816670000001,3.52,0.25,d,1380029706.32
60038747,44.7426667,-110.78233329999999,3.91,0.38,d,1380030127.02
60038802,44.736999999999995,-110.7796667,6.4,2.35,l,1380070112.75
60038812,44.7456667,-110.766,9.26,1.23,l,1380070437.66
60038817,44.7408333,-110.7828333,2.94,0.78,l,1380072800.53
60038822,44.7398333,-110.7825,2.58,-9.99,h,1380076767.69
60038832,44.74100000000001,-110.77983329999999,2.25,0.78,l,1380077968.17
60038857,44.749333299999996,-110.78266670000001,8.16,1.51,l,1380086004.97
60038922,44.7808333,-110.78333329999998,2.03,0.46,d,1380144084.15
60038957,44.7295,-110.78433329999999,3.26,-9.99,h,1380181360.52
60038962,44.7441667,-110.7766667,7.25,1.41,l,1380181528.53
60038967,44.736999999999995,-110.77566670000002,2.18,0.64,l,1380190726.21
60038972,44.7363333,-110.78,2.41,0.18,d,1380205913.77
60039012,44.8156667,-110.72016670000001,23.48,1.08,l,1380227620.71
60039017,44.7411667,-110.787,2.57,1.43,l,1380227638.0
60039022,44.7488333,-110.7895,7.37,1.43,l,1380227695.33
60039277,44.734333299999996,-110.77416670000001,7.85,0.2,d,1380346995.88
60039327,44.7466667,-110.766,8.91,1.51,l,1380360691.74
60039332,44.7425,-110.7785,5.76,0.38,d,1380360717.32
60039342,44.74100000000001,-110.78066670000001,6.18,1.17,l,1380377313.41
60039347,44.742,-110.78366670000001,2.77,0.17,d,1380383402.81
60039357,44.7441667,-110.76583329999998,8.43,2.15,l,1380390620.38
60039367,44.744,-110.76700000000001,7.37,0.3,d,1380394004.78
60039402,44.7453333,-110.77766670000001,7.15,1.54,l,1380414965.94
60039447,44.745,-110.77,7.75,1.55,l,1380443733.32
60039462,44.728,-110.77516670000001,2.43,0.04,d,1380451442.96
60039572,44.7465,-110.765,7.28,1.12,l,1380506110.45
60039577,44.7411667,-110.77133329999998,7.42,2.15,l,1380517673.64
60039582,44.7386667,-110.7765,3.75,1.18,d,1380517731.74
60039692,44.7415,-110.7795,6.56,0.97,l,1380575178.85
60039697,44.7456667,-110.76933329999999,5.96,1.08,d,1380575234.66
60039712,44.733999999999995,-110.77933329999999,2.06,0.58,d,1380584267.72
60039837,44.7383333,-110.76433329999999,8.57,0.81,l,1380684286.82
60039892,44.7555,-110.7616667,8.63,1.45,l,1380749508.62
60039897,44.7443333,-110.78483329999999,8.36,0.95,l,1380751471.52
60040477,44.743333299999996,-110.77183329999998,6.97,1.12,l,1381119220.77
60040747,44.748000000000005,-110.77216670000001,8.8,0.96,l,1381460566.47
60040752,44.7465,-110.785,9.38,1.08,l,1381460718.57
60040762,44.7383333,-110.78683329999998,4.38,1.63,l,1381473454.52
60040772,44.7333333,-110.78233329999999,2.39,0.11,d,1381476075.88
60040777,44.7363333,-110.77600000000001,5.57,1.99,l,1381476173.09
60040782,44.7416667,-110.7736667,6.47,1.39,l,1381481753.78
60040877,44.7618333,-110.77233329999999,7.5,0.47,d,1381536777.61
60040987,44.7445,-110.77016670000002,8.08,1.17,l,1381601690.3
60040992,44.7353333,-110.77483329999998,6.95,1.91,l,1381605183.93
60041037,44.738,-110.76733329999999,7.81,0.87,l,1381653496.77
60041082,44.7428333,-110.76666670000002,7.72,1.34,l,1381719892.54
60041087,44.7288333,-110.77233329999999,5.0,1.58,l,1381721257.26
60041152,44.7375,-110.7655,8.43,1.03,l,1381760536.27
60041837,44.8256667,-110.69066670000001,4.1,1.43,l,1382254703.39
60041957,44.7721667,-110.70883329999998,4.04,1.29,l,1382354195.13
60041972,44.7718333,-110.71633329999999,4.47,1.54,l,1382355505.61
60041977,44.7718333,-110.71233329999998,4.56,1.54,l,1382355835.08
60041987,44.7718333,-110.71333329999999,4.2,1.68,l,1382358550.28
60043057,44.7958333,-110.8305,4.76,1.27,l,1383180943.79
60043482,44.7545,-110.82733329999999,5.51,1.7,l,1383456229.0
60043562,44.757,-110.83216670000002,5.44,2.32,l,1383531802.6
60043812,44.7561667,-110.8325,6.24,1.18,l,1383702633.08
60043877,44.8553333,-110.68700000000001,8.37,1.89,l,1383774486.88
60044177,44.7571667,-110.83233329999999,7.12,1.56,l,1384032048.09
60044357,44.8378333,-110.69633329999999,6.59,1.95,l,1384244187.33
60044997,44.7426667,-110.77316670000002,7.21,1.77,l,1384582763.16
60045377,44.835333299999995,-110.6895,6.17,2.17,l,1384907220.2
60045392,44.8321667,-110.70166670000002,3.66,0.68,d,1384912921.6
60045722,44.828,-110.68733329999999,4.44,2.46,l,1385174812.19
60046542,44.7383333,-110.7855,7.12,1.72,l,1385326082.93
60046937,44.8081667,-110.8038333,4.51,0.11,d,1385446164.93
60047167,44.747833299999996,-110.78366670000001,7.25,1.32,l,1385542417.61
60047222,44.7813333,-110.80883329999999,4.52,0.22,d,1385567523.56
60048932,44.8415,-110.68916670000002,7.01,2.31,l,1386977656.06
60049107,44.7815,-110.81066670000001,6.42,1.01,l,1387155598.18
60049122,44.7905,-110.80633329999999,7.89,1.34,l,1387167212.48
60049127,44.7828333,-110.81316670000001,6.48,1.18,l,1387167298.04
60049252,44.785,-110.8165,7.82,0.97,l,1387251084.21
60049262,44.7396667,-110.7805,7.21,1.28,l,1387262956.52
60049267,44.7345,-110.7796667,6.63,2.04,l,1387262970.64
60049272,44.745,-110.77516670000001,8.05,1.86,d,1387263035.97
60049437,44.7831667,-110.82966670000002,7.69,0.98,l,1387452397.76
60049442,44.782,-110.82600000000001,9.0,1.09,l,1387454228.07
60049447,44.789666700000005,-110.82433329999999,8.14,1.37,l,1387458512.5
60049452,44.778,-110.8301667,5.88,1.9,l,1387468210.62
60049457,44.7798333,-110.824,6.67,1.09,l,1387468671.38
60049467,44.7786667,-110.81583329999998,8.52,1.63,l,1387468993.1
60049472,44.7871667,-110.82666670000002,8.01,1.22,l,1387472194.88
60049482,44.7841667,-110.82016670000002,9.56,2.01,l,1387487953.05
60049487,44.7816667,-110.8305,7.45,1.33,l,1387489766.5
60049497,44.7826667,-110.81933329999998,6.34,1.1,l,1387492753.39
60049527,44.780666700000005,-110.82133329999999,6.66,0.85,l,1387522051.62
60049537,44.7696667,-110.8155,4.72,0.05,d,1387525199.45
60049542,44.7698333,-110.82033329999999,4.18,0.7,d,1387526799.86
60049547,44.7765,-110.8225,6.68,2.14,l,1387532633.39
60049562,44.782,-110.82266670000001,7.24,1.01,l,1387544521.31
60049567,44.7753333,-110.80866670000002,7.79,0.32,d,1387548318.94
60049572,44.7733333,-110.8165,4.92,0.12,d,1387555591.67
60049577,44.7721667,-110.8095,7.68,0.58,d,1387559583.91
60049582,44.778999999999996,-110.8361667,6.49,1.26,l,1387563738.9
60049592,44.765666700000004,-110.81933329999998,5.09,0.76,l,1387564651.64
60049662,44.7823333,-110.82799999999999,8.24,1.13,l,1387633253.94
60050087,44.7503333,-110.77383329999999,7.53,1.12,l,1388109090.72
60050202,44.743333299999996,-110.7805,8.49,1.44,l,1388212311.05
60050377,44.780333299999995,-110.75466670000002,4.27,1.95,l,1388364152.38
60050387,44.780333299999995,-110.75366670000001,4.12,1.55,l,1388364878.29
60050887,44.844333299999995,-110.68299999999999,7.83,1.74,l,1388840035.71
60051012,44.7443333,-110.786,6.46,2.6,l,1388998811.85
60051017,44.7576667,-110.77933329999999,9.5,3.45,l,1388999652.15
60051022,44.7541667,-110.78016670000001,8.93,0.8,l,1388999607.0
60051032,44.7421667,-110.78166670000002,5.82,1.11,l,1389000323.77
60051037,44.7381667,-110.77583329999999,5.85,0.9,l,1389000744.59
60051047,44.7533333,-110.7796667,8.27,1.81,l,1389002355.87
60051052,44.7518333,-110.78333329999998,7.56,1.63,l,1389009151.39
60051067,44.7838333,-110.77033329999999,13.37,0.81,l,1389012565.88
60051072,44.745,-110.78516670000002,6.93,1.63,l,1389012843.78
60051242,44.7411667,-110.7915,2.05,0.32,l,1389147308.99
60051382,44.743,-110.7948333,8.56,0.93,l,1389291207.4
60051542,44.813166700000004,-110.8085,7.3,1.02,l,1389417875.81
60052212,44.7465,-110.77316670000002,8.31,0.8,l,1390039924.21
60052322,44.731333299999996,-110.77316670000002,4.86,1.27,l,1390118562.87
60052382,44.744833299999996,-110.7796667,8.13,1.47,l,1390214639.77
60052437,44.7318333,-110.8055,8.01,2.42,l,1390284008.42
60052442,44.725666700000005,-110.79833329999998,6.68,1.52,l,1390286387.42
60052452,44.7371667,-110.8035,7.79,0.94,l,1390288881.31
60052462,44.7296667,-110.80466670000001,7.19,1.06,l,1390290343.04
60052467,44.7321667,-110.8045,6.73,1.42,l,1390290633.86
60052472,44.7305,-110.80316670000002,7.43,1.59,l,1390292191.12
60052477,44.7293333,-110.8038333,6.9,1.56,l,1390295780.84
60052482,44.7398333,-110.8225,11.79,0.29,d,1390297516.58
60052492,44.735,-110.801,8.7,0.95,l,1390309024.01
60052497,44.7308333,-110.8068333,8.28,1.57,l,1390311813.95
60052502,44.7281667,-110.79666670000002,4.15,0.26,d,1390315641.03
60052507,44.7278333,-110.80066670000001,7.86,1.68,l,1390315943.88
60052512,44.733999999999995,-110.8025,7.36,0.97,l,1390316142.51
60052517,44.735833299999996,-110.80583329999999,6.81,1.27,l,1390317787.68
60052522,44.7326667,-110.80216670000001,8.41,0.65,d,1390319942.75
60052527,44.7291667,-110.79916670000001,7.21,1.83,l,1390321926.81
60052532,44.771333299999995,-110.77516670000001,10.54,1.01,l,1390324543.61
60052537,44.737333299999996,-110.80533329999999,7.38,0.9,l,1390324606.33
60052542,44.7353333,-110.8125,6.5,0.72,l,1390324696.78
60052597,44.7356667,-110.8005,8.94,1.09,l,1390348772.3
60052602,44.7416667,-110.80533329999999,7.89,0.78,l,1390349541.22
60052607,44.736999999999995,-110.8065,7.74,1.29,l,1390350241.74
60052612,44.7345,-110.79666670000002,8.91,1.15,l,1390350587.74
60052617,44.7345,-110.80016670000002,8.03,1.59,l,1390350600.84
60052622,44.7333333,-110.8025,8.52,1.07,l,1390350837.14
60052627,44.735833299999996,-110.7978333,9.41,1.11,l,1390350853.78
60052632,44.732833299999996,-110.801,8.09,0.56,d,1390351046.57
60052637,44.7305,-110.80166670000001,5.85,0.32,d,1390351941.33
60052642,44.7311667,-110.7978333,5.91,0.79,l,1390352049.53
60052647,44.732833299999996,-110.80666670000001,8.2,1.4,l,1390353472.95
60052657,44.7393333,-110.80583329999999,8.09,0.85,l,1390357795.81
60052662,44.73,-110.8045,8.34,2.01,l,1390361797.88
