time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-06-25T15:24:31.800Z,44.7853,-110.7695,4.4,0.7,Md,,129.6,0.05389892,0.11,uu,uu60074752,2014-06-25T17:25:30.453Z,"21 km SSW of Mammoth, Wyoming",earthquake,0.4,0.8,0.1,3,reviewed,uu,uu
2014-06-19T11:59:24.300Z,44.788,-110.6833,4.7,1.8,Ml,,118.8,0.06288207,0.18,uu,uu60073967,2014-06-19T16:38:08.713Z,"21 km S of Mammoth, Wyoming",earthquake,0.6,0.7,0.2,5,reviewed,uu,uu
2014-06-19T11:56:27.100Z,44.7832,-110.6868,3.8,0.1,Md,,136.8,0.05389892,0.12,uu,uu60073962,2014-06-19T16:23:43.592Z,"21 km S of Mammoth, Wyoming",earthquake,0.5,1,0.1,2,reviewed,uu,uu
2014-06-19T11:56:04.000Z,44.776,-110.6872,3.7,0.1,Md,,133.2,0.05389892,0.1,uu,uu60005320,2014-06-19T16:28:53.638Z,"22 km S of Mammoth, Wyoming",earthquake,0.5,2.3,0.2,2,reviewed,uu,uu
2014-06-15T04:28:19.100Z,44.8192,-110.7482,7.7,1.2,Ml,,255.6,0.08084838,0.11,uu,uu60073437,2014-06-16T14:58:27.020Z,"17 km SSW of Mammoth, Wyoming",earthquake,1.5,0.7,0.4,2,reviewed,uu,uu
2014-06-12T20:53:47.200Z,44.8035,-110.7577,5.6,1.6,Ml,,244.8,0.07186522,0.07,uu,uu60073092,2014-06-13T15:09:43.230Z,"19 km SSW of Mammoth, Wyoming",earthquake,1.2,1.7,0.5,2,reviewed,uu,uu
2014-06-11T06:40:09.900Z,44.7988,-110.7663,6.2,1.4,Ml,,212.4,0.06288207,0.13,uu,uu60072827,2014-06-11T15:24:13.392Z,"20 km SSW of Mammoth, Wyoming",earthquake,0.8,1.1,0.4,3,reviewed,uu,uu
2014-06-11T01:09:10.800Z,44.8667,-110.6858,3.6,1.8,Ml,,180,0.14373045,0.12,uu,uu60072792,2014-06-11T14:59:58.168Z,"12 km S of Mammoth, Wyoming",earthquake,0.5,1.1,0.4,4,reviewed,uu,uu
2014-06-09T08:43:46.300Z,44.7912,-110.768,4.8,2.2,Ml,,108,0.06288207,0.13,uu,uu60072612,2014-06-09T22:54:24.266Z,"21 km SSW of Mammoth, Wyoming",earthquake,0.5,0.5,0.5,5,reviewed,uu,uu
2014-06-09T00:48:40.000Z,44.7927,-110.7575,4.5,1.1,Ml,,237.6,0.06288207,0.06,uu,uu60072592,2014-06-10T20:43:09.976Z,"20 km SSW of Mammoth, Wyoming",earthquake,2.4,1.2,0.4,2,reviewed,uu,uu
2014-06-08T19:46:43.700Z,44.7905,-110.7638,4.9,1.6,Ml,,201.6,0.06288207,0.13,uu,uu60072582,2014-06-09T22:39:54.128Z,"21 km SSW of Mammoth, Wyoming",earthquake,0.6,0.4,0.3,4,reviewed,uu,uu
2014-06-07T21:25:07.800Z,44.828,-110.7362,7.8,1.1,Md,,262.8,0.08983153,0.05,uu,uu60072532,2014-06-11T14:41:57.021Z,"16 km S of Mammoth, Wyoming",earthquake,1.1,1,0.5,4,reviewed,uu,uu
2014-06-07T20:55:05.300Z,44.8155,-110.7383,7.3,1.1,Ml,,259.2,0.08084838,0.09,uu,uu60072527,2014-06-10T20:09:09.685Z,"18 km S of Mammoth, Wyoming",earthquake,1.4,1,0.4,2,reviewed,uu,uu
2014-06-07T17:49:00.800Z,44.7968,-110.7553,5.8,1.2,Ml,,244.8,0.07186522,0.07,uu,uu60072512,2014-06-10T19:50:39.559Z,"20 km SSW of Mammoth, Wyoming",earthquake,1.2,1.4,0.3,2,reviewed,uu,uu
2014-06-07T07:53:52.000Z,44.7943,-110.7588,4.7,1.1,Ml,,237.6,0.06288207,0.09,uu,uu60072457,2014-06-10T19:43:24.497Z,"20 km SSW of Mammoth, Wyoming",earthquake,1.7,0.9,0.5,2,reviewed,uu,uu
2014-06-06T13:12:36.600Z,44.7987,-110.748,5.2,1.2,Ml,,248.4,0.07186522,0.06,uu,uu60072352,2014-06-10T18:00:37.772Z,"20 km S of Mammoth, Wyoming",earthquake,1.1,1.7,0.5,2,reviewed,uu,uu
2014-06-06T11:43:42.500Z,44.7998,-110.769,5.6,0.6,Md,,241.2,0.06288207,0.15,uu,uu60072342,2014-06-09T18:51:27.597Z,"20 km SSW of Mammoth, Wyoming",earthquake,1.8,1.1,0.2,3,reviewed,uu,uu
2014-06-06T03:05:55.600Z,44.79,-110.7657,4.5,1.5,Ml,,205.2,0.06288207,0.12,uu,uu60072312,2014-06-09T18:47:52.559Z,"21 km SSW of Mammoth, Wyoming",earthquake,0.7,0.5,0.4,2,reviewed,uu,uu
2014-06-06T01:32:37.100Z,44.818,-110.7527,8.7,1.5,Ml,,255.6,0.07186522,0.1,uu,uu60072297,2014-06-09T18:43:12.516Z,"18 km SSW of Mammoth, Wyoming",earthquake,1.3,1.9,0.2,2,reviewed,uu,uu
2014-06-06T01:19:34.500Z,44.8258,-110.7462,7.4,0.5,Md,,259.2,0.08084838,0.07,uu,uu60072292,2014-06-10T17:28:07.477Z,"17 km SSW of Mammoth, Wyoming",earthquake,1.5,0.7,0.4,3,reviewed,uu,uu
2014-06-05T20:25:20.700Z,44.8138,-110.7458,7.5,0.4,Md,,255.6,0.08084838,0.07,uu,uu60072282,2014-06-10T17:23:27.434Z,"Wyoming",earthquake,1.2,0.7,0.1,2,reviewed,uu,uu
2014-06-05T06:05:43.200Z,44.7882,-110.7578,4.3,0.5,Md,,237.6,0.06288207,0.09,uu,uu60072157,2014-06-05T18:19:09.159Z,"Wyoming",earthquake,0.8,1.1,0.1,3,reviewed,uu,uu
