Evid,EqLat,EqLon,EqDepSL,EqOt,CatMag,CatMagType,Date,Event-Mean-YPML,Event-Median-YPML,Event-Mean-YPML-S,Event-Median-YPML-S
60000620.0,44.4745,-110.5526667,4.43,1357546352.6499977,2.19,l,2013-01-07 08:12:32.649998+00:00,2.0401925832416548,2.086395765039919,2.069803556791655,2.0305796051708995
60000622.0,44.7645,-111.088,7.69,1349569924.7399998,0.83,l,2012-10-07 00:32:04.740000+00:00,0.7178453585804279,0.7178453585804279,0.6949755841304278,0.6949755841304278
60000940.0,44.479,-110.5911667,2.2,1362430217.9699993,1.12,l,2013-03-04 20:50:17.969999+00:00,0.9260211618393304,0.9260211618393304,1.0087585341393304,1.0087585341393304
60000950.0,44.4735,-110.5733333,-2.76,1362430962.1499977,2.04,l,2013-03-04 21:02:42.149998+00:00,1.7311159993076946,1.7787642785536697,1.7869673468576943,1.7992208267036696
60000955.0,44.4718333,-110.571,4.69,1362430976.459999,2.06,l,2013-03-04 21:02:56.459999+00:00,1.8473345934914815,1.8776218503245223,1.901856277091482,1.8757121565245225
60001055.0,44.3236667,-110.6833333,5.11,1366106621.8099976,1.37,l,2013-04-16 10:03:41.809998+00:00,1.2238181353800657,1.2238181353800657,1.3065555076800657,1.3065555076800657
60001070.0,44.2595,-110.8925,7.2,1366047665.35,2.22,l,2013-04-15 17:41:05.350000+00:00,2.2727672761210496,2.287156593592596,2.3086823831410497,2.346996932992596
60001310.0,44.7531667,-110.9163333,9.52,1372675824.2299995,1.99,l,2013-07-01 10:50:24.230000+00:00,2.011426145444987,2.0124554220260307,2.016126408944986,2.0686292889260307
60001325.0,44.764,-110.9321667,6.38,1372605555.96,0.69,l,2013-06-30 15:19:15.960000+00:00,0.54861135263494,0.54861135263494,0.60661845578494,0.60661845578494
60001340.0,44.758,-110.9193333,7.61,1372605521.2000008,1.59,l,2013-06-30 15:18:41.200001+00:00,1.4661146342453506,1.4661146342453506,1.5241217373953506,1.5241217373953506
60001352.0,44.3893333,-111.0358333,14.3,1350269075.5200005,2.06,l,2012-10-15 02:44:35.520000+00:00,2.272065404054615,2.32536668128136,2.2505098067212823,2.30643943818136
60001357.0,44.396,-111.0241667,9.71,1350269240.7399998,1.97,l,2012-10-15 02:47:20.740000+00:00,2.1177462317075637,2.218257504255244,2.09619063437423,2.1824678700897517
60001367.0,44.4063333,-111.0538333,10.32,1350269505.9399986,2.03,l,2012-10-15 02:51:45.939999+00:00,2.1767867110341483,2.286124556406651,2.155231113700815,2.238129887343517
60001372.0,44.3926667,-111.0288333,12.55,1350269536.0599997,2.52,l,2012-10-15 02:52:16.060000+00:00,2.536585708307964,2.484072660346312,2.519941586857964,2.4957243862196083
60001382.0,44.3938333,-111.0435,12.42,1350269692.3999977,3.16,l,2012-10-15 02:54:52.399998+00:00,3.0741040804464297,2.938174228116498,3.09478878328643,3.094810758432268
60001387.0,44.399,-111.0445,15.82,1350269794.7799988,2.19,l,2012-10-15 02:56:34.779999+00:00,2.399943134713115,2.521175920731053,2.3783875373797816,2.457560867755477
60001392.0,44.3936667,-111.0518333,15.91,1350269896.58,1.87,l,2012-10-15 02:58:16.580000+00:00,2.0979683176680104,2.121588306981629,2.076412720334677,2.1026610638816297
60001397.0,44.4021667,-111.054,14.47,1350269973.5599976,2.25,l,2012-10-15 02:59:33.559998+00:00,2.2905446331706862,2.3362023207815703,2.273900511720686,2.2842907659815705
60001402.0,44.3878333,-111.0666667,15.51,1350270039.4799995,2.28,l,2012-10-15 03:00:39.480000+00:00,2.3602001152787984,2.460428819342787,2.343555993828798,2.400008489892788
60001407.0,44.4033333,-111.0423333,5.86,1350270373.96,2.47,l,2012-10-15 03:06:13.960000+00:00,2.432293824528692,2.5315360358506798,2.4156497030786923,2.4711157064006795
60001410.0,44.4003333,-111.0421667,5.72,1373184468.7799988,0.95,l,2013-07-07 08:07:48.779999+00:00,1.073515271603998,1.073515271603998,1.114759557553998,1.114759557553998
60001412.0,44.3973333,-111.0461667,13.14,1350270294.4300003,2.24,l,2012-10-15 03:04:54.430000+00:00,2.2679499266449525,2.285797690952871,2.251305805194953,2.2338861361528712
60001432.0,44.4013333,-111.0498333,19.25,1350270675.5699997,1.7,l,2012-10-15 03:11:15.570000+00:00,1.9981814455247036,1.9981814455247036,1.9753116710747036,1.9753116710747036
60001437.0,44.3898333,-111.0448333,13.59,1350270701.6100006,2.51,l,2012-10-15 03:11:41.610001+00:00,2.560122439494866,2.55598079237304,2.543478318044866,2.563984925443204
60001440.0,44.7461667,-110.8626667,4.64,1373695551.8600006,0.85,l,2013-07-13 06:05:51.860001+00:00,0.6331954836131137,0.6331954836131137,0.6121589454131137,0.6121589454131137
60001447.0,44.3876667,-111.0256667,10.49,1350270990.289999,2.0,l,2012-10-15 03:16:30.289999+00:00,2.1434506408218352,2.2999360618880376,2.121895043488502,2.1980226460880377
60001452.0,44.3958333,-111.0516667,15.93,1350271084.2799995,2.22,l,2012-10-15 03:18:04.279999+00:00,2.2786295235203244,2.2840180683919837,2.2619854020703247,2.247625552597593
60001462.0,44.3905,-111.0393333,11.7,1350271245.079998,3.12,l,2012-10-15 03:20:45.079998+00:00,3.0391726438375968,2.942661618412857,3.059857346677597,2.985725997600912
60001467.0,44.396,-111.072,15.55,1350271353.0999985,2.61,l,2012-10-15 03:22:33.099998+00:00,2.6793828677521763,2.6903085196836334,2.662738746302177,2.6383969648836336
