network,station,receiver_lat,receiver_lon,channelz
WY,YDC,44.7095,-111.23967,EHZ
WY,YHH,44.78833,-110.8505,HHZ
WY,YMR,44.66867,-110.965,HHZ
WY,YHB,44.7508,-111.1962,EHZ
WY,YHB,44.7508,-111.1962,HHZ
PB,B207,44.619,-110.8485,EHZ
WY,YPP,44.271,-110.8045,EHZ
WY,MCID,44.19033,-111.18266,EHZ
WY,YWB,44.60583,-111.10083,EHZ
WY,YPM,44.65717,-110.86867,EHZ
PB,B944,44.3897,-110.5438,EHZ
TA,H17A,44.3951,-110.5762,BHZ
WY,YPP,44.271,-110.8045,HHZ
WY,YTP,44.39183,-110.285,EHZ
WY,YLT,44.437,-110.588,EHZ
PB,B208,44.5602,-110.4015,EHZ
WY,YLA,44.51266,-110.26867,EHZ
US,LKWY,44.5652,-110.4,BHZ
IW,IMW,43.893,-110.9434,BHZ
WY,YHL,44.8509,-111.183,HHZ
IW,REDW,43.3624,-110.8518,BHZ
WY,YML,44.60533,-110.64317,EHZ
PB,B206,44.7177,-110.5117,EHZ
WY,YUF,44.7126,-110.5117,HHZ
WY,YNE,45.0076,-110.008,HHZ
WY,YMP,44.74017,-110.156,HHZ
MB,CRMT,45.45583,-110.1402,EHZ
WY,YTP,44.39183,-110.285,HHZ
WY,YNR,44.7155,-110.67917,ENZ
WY,YHH,44.78833,-110.8505,EHZ
WY,YFT,44.45133,-110.83583,HHZ
WY,YGC,44.79617,-111.1065,EHZ
WY,YFT,44.45133,-110.83583,ENZ
WY,YNR,44.7155,-110.67917,HHZ
WY,YPK,44.7318,-109.921933,EHZ
IW,MOOW,43.7486,-110.7448,BHZ
IW,TPAW,43.4897,-110.9567,BHZ
MB,QLMT,44.83067,-111.43,EHZ
WY,YMS,44.264,-110.52783,EHZ
WY,YHB,44.7508,-111.1962,ENZ
IW,SNOW,43.4599,-110.7541,BHZ
WY,YMC,44.75933,-111.00616,EHZ
PB,B945,44.894,-110.7441,EHZ
WY,YMV,44.97367,-110.68884,EHZ
WY,YNM,44.7265,-110.7037,HHZ
IE,GBI,43.987,-112.063,EHZ
MB,BGMT,45.233333,-112.0405,EHZ
MB,TPMT,44.72983,-111.6657,EHZ
US,BOZ,45.59697,-111.62967,BHZ
MB,MOMT,44.59333,-112.3943,EHZ
IE,ECRI,43.054001,-111.371002,EHZ
IE,HHAI,43.295,-112.3795,EHZ
WY,YMR,44.66867,-110.965,ENZ
WY,YUF,44.7126,-110.5117,ENZ
WY,YJC,44.7555,-110.34917,EHZ
WY,YSB,44.884,-110.151,EHZ
WY,YPC,44.648,-110.1925,EHZ
PB,B950,44.7128,-110.6785,EHZ
IE,PTI,42.8703,-112.3702,EHZ
WY,YMP,44.74017,-110.156,EHZ
WY,YPP,44.271,-110.8045,ENZ
US,BW06,42.7667,-109.5583,BHZ
WY,YHR,44.106,-110.0816,HHZ
WY,YTP,44.39183,-110.285,ENZ
TA,H17A,44.3951,-110.5762,HHZ
IW,FLWY,44.083002,-110.699888,BHZ
IW,LOHW,43.6124,-110.6038,BHZ
IE,GRRI,42.938,-111.422,EHZ
WY,YEE,44.4853,-109.8969,HHZ
WY,YDD,44.3951,-110.5762,HHZ
WY,YHH,44.78833,-110.8505,ENZ
WY,YDD,44.3951,-110.5762,ENZ
WY,YHL,44.8509,-111.183,ENZ
US,RLMT,45.122101,-109.267303,BHZ
IE,GBI,43.986041,-112.064334,HHZ
IE,TMI,43.305,-111.918,EHZ
MB,BZMT,45.64817,-110.7967,EHZ
WY,YNB,44.72741,-110.71121,HHZ
MB,ECMT,45.321184,-110.739816,HHZ
WY,YJC,44.7555,-110.34917,HHZ
WY,YMV,44.97367,-110.68884,HHZ
US,AHID,42.7654,-111.1004,BHZ
WY,YMP,44.74017,-110.156,ENZ
IE,DVCI,44.38309,-114.03858,HHZ
GS,ID05,42.6429,-111.459,HHZ
GS,ID08,42.896,-111.8389,HHZ
RC,CMI,44.5165,-111.6175,EHZ
IM,PD31,42.7672,-109.558098,BHZ
IE,PTI,42.869647,-112.372065,HHZ
IE,SKII,43.320164,-111.929816,HHZ
