event_identifier,arrival_identifier,network,station,channel1,channel2,location_code,source_latitude,source_longitude,source_receiver_distance_km,source_receiver_back_azimuth,source_depth_km,transverse_noise_variance,transverse_noise_minimum_value,transverse_noise_maximum_value,radial_noise_variance,radial_noise_minimum_value,radial_noise_maximum_value,transverse_signal_variance,transverse_signal_minimum_value,transverse_signal_maximum_value,radial_signal_variance,radial_signal_minimum_value,radial_signal_maximum_value,transverse_noise_dominant_frequency,transverse_noise_dominant_amplitude,transverse_signal_dominant_frequency,transverse_signal_dominant_amplitude,radial_noise_dominant_frequency,radial_noise_dominant_amplitude,radial_signal_dominant_frequency,radial_signal_dominant_amplitude,magnitude_type,magnitude,transverse_avg_noise_1.00,transverse_avg_signal_1.00,radial_avg_noise_1.00,radial_avg_signal_1.00,transverse_avg_noise_2.00,transverse_avg_signal_2.00,radial_avg_noise_2.00,radial_avg_signal_2.00,transverse_avg_noise_3.00,transverse_avg_signal_3.00,radial_avg_noise_3.00,radial_avg_signal_3.00,transverse_avg_noise_4.00,transverse_avg_signal_4.00,radial_avg_noise_4.00,radial_avg_signal_4.00,transverse_avg_noise_5.00,transverse_avg_signal_5.00,radial_avg_noise_5.00,radial_avg_signal_5.00,transverse_avg_noise_6.00,transverse_avg_signal_6.00,radial_avg_noise_6.00,radial_avg_signal_6.00,transverse_avg_noise_7.00,transverse_avg_signal_7.00,radial_avg_noise_7.00,radial_avg_signal_7.00,transverse_avg_noise_8.00,transverse_avg_signal_8.00,radial_avg_noise_8.00,radial_avg_signal_8.00,transverse_avg_noise_9.00,transverse_avg_signal_9.00,radial_avg_noise_9.00,radial_avg_signal_9.00,transverse_avg_noise_10.00,transverse_avg_signal_10.00,radial_avg_noise_10.00,radial_avg_signal_10.00,transverse_avg_noise_11.00,transverse_avg_signal_11.00,radial_avg_noise_11.00,radial_avg_signal_11.00,transverse_avg_noise_12.00,transverse_avg_signal_12.00,radial_avg_noise_12.00,radial_avg_signal_12.00,transverse_avg_noise_13.00,transverse_avg_signal_13.00,radial_avg_noise_13.00,radial_avg_signal_13.00,transverse_avg_noise_14.00,transverse_avg_signal_14.00,radial_avg_noise_14.00,radial_avg_signal_14.00,transverse_avg_noise_15.00,transverse_avg_signal_15.00,radial_avg_noise_15.00,radial_avg_signal_15.00,transverse_avg_noise_16.00,transverse_avg_signal_16.00,radial_avg_noise_16.00,radial_avg_signal_16.00,transverse_avg_noise_17.00,transverse_avg_signal_17.00,radial_avg_noise_17.00,radial_avg_signal_17.00,transverse_avg_noise_18.00,transverse_avg_signal_18.00,radial_avg_noise_18.00,radial_avg_signal_18.00
60475807,3784474,WY,YTP,HHN,HHE,01,44.1581667,-110.2561667,26.065947578727656,174.92350456234638,10.67,4.222817915318533,-6.053236497762601,5.370893956478543,3.8559958471806377,-5.086646092571163,6.757905446120976,77.1977975709066,-31.903384256916354,36.103345928875946,87.77115217868536,-26.400995420447437,34.46082883601787,3.0,0.10856181516514223,6.0,0.5641681083483066,4.0,0.1138627722431044,9.0,0.6498927406977689,l,2.32,0.09934299961742983,0.7078664037974065,0.03688326637358376,0.4123893639806001,0.1777159444375037,1.3103799190129672,0.07860177444899988,1.3032471531258263,0.1437328497700915,1.70923804099285,0.1547698061646524,2.0007414618697204,0.1389136111907813,2.3260379694686066,0.2100107170487801,2.6256223473884024,0.19524904375908136,3.2661343126190134,0.16331005080669947,2.9829200962403095,0.20490880074396867,3.1334190407620834,0.16889519033218583,3.2319452455244306,0.18858121804782504,2.5977645255493553,0.1927389683826216,3.037485290293898,0.20600643923310374,2.5327263901500716,0.2796156402768743,3.143163076917629,0.22130321869629022,2.758074037870754,0.3205307244100025,3.2117717195658906,0.22624972507501662,2.8058560810606337,0.3064951700693741,3.0620577400439135,0.230385629733859,2.6959573637774827,0.267820551500048,2.7875177552283463,0.24494817344920422,2.497434252271225,0.22647452291137704,2.462849128510671,0.2717621038678607,2.257371479327339,0.1942534361159911,2.1207250077223665,0.28983664449504404,1.99526182266899,0.17260504589012898,1.806635966543683,0.2909500283001749,1.741242517847793,0.16174173431348812,1.5463526923955822,0.2783309443653885,1.5127112890928034,0.15929623410597113,1.3386452199953476,0.25697266846084466,1.3081697505320837,0.16070596965350348,1.1722527288677211,0.23102723412947912,1.1282975130349104,0.16177747461885217,1.0363463805832902
60475807,3784489,IW,FLWY,BH1,BH2,00,44.1581667,-110.2561667,36.485755592655465,76.61281822375042,10.67,1.4355807410719472,-3.194476464109433,4.0797139733405094,1.3447473446576295,-2.993628450853789,2.3548168989170697,18.42115806986417,-18.331292070995705,11.186458183472007,33.50206436069204,-22.19900113829165,15.67253836509314,3.0,0.2118136702695484,4.0,0.3781400953527627,2.0,0.1807580855705366,4.0,0.4811376753611261,l,2.32,0.13004189509539318,1.943151367961602,0.14163762926087867,1.552441160890308,0.3274002426906344,2.5576201784335764,0.47704097247264277,2.446354892888581,0.4738294321613675,1.7758925008989639,0.24879692147680293,3.259996678333983,0.30774714857739943,1.8423577598809284,0.2023511386994419,3.794094942924891,0.2457761546598327,1.688473973237694,0.13806520106709208,2.5042637849118337,0.15429184169886542,1.295613914310478,0.16661820547689418,1.626701524884641,0.12237575930749224,0.9620839821716862,0.17568440491362494,1.2711048540499637,0.11089267483538531,0.7056415033862034,0.16359777626880373,1.0876547620493173,0.09509624864774878,0.5315791471008062,0.1424783197025082,0.9215888741775545,0.08264842093705588,0.4203097651105072,0.12052742545102417,0.7771728299966265,0.0729021120861497,0.3478998933324525,0.10226462461871982,0.657839887038951,0.06399610709997658,0.29793746249469133,0.08641673245162343,0.5501274382892472,0.056035603855358995,0.2616023512291621,0.0727247317482148,0.4516508909478326,0.04924126642172531,0.22968034170538923,0.06112582090860118,0.36561554391927564,0.04386236671220803,0.19921845828758233,0.051199447077393025,0.29378143564467446,0.03887357523243446,0.17058112883038642,0.04267404048683673,0.2357273449011543,0.03406461405736025,0.1446320377564182,0.03549648500262506,0.18966257384398932,0.029421659013353182,0.12169171172343847,0.02955745514610035,0.15330487980242388
60476287,3788894,WY,YDD,HHN,HHE,01,44.5131667,-110.5951667,13.206266704977491,353.4428683454291,3.49,4.077559735953501,-6.884467413500097,5.171350511527786,2.907206148835899,-6.1041860950504105,3.4592476315476746,24.668077250373315,-18.770237197562807,19.82624191924163,43.26687300178819,-22.948639758135577,25.10597387716946,7.0,0.12678225549374203,7.0,0.36804105934269987,9.0,0.08965912352092414,10.0,0.43175619575348584,l,1.7,0.011978469716179154,0.15437728568377893,0.01888868516113786,0.2449710460175132,0.05876091671006042,0.2513778939292547,0.026596801471688,0.9049154503266403,0.047985582699578,0.9331348171558572,0.03962812907528132,0.8742396565211871,0.10455719727809222,1.2128058570387574,0.039567805070633684,1.5080902030229604,0.16877842475835286,1.6538281218027546,0.09935477701697876,1.5437146140973563,0.2854266314737302,1.7578081789037772,0.17280721102905633,1.6457007869725724,0.39278362760209995,1.9324852746444547,0.26074302476912,2.210796354499321,0.3985516223127098,2.0615073946292215,0.2943611725658568,2.7109418787571595,0.3390774533779328,1.9508852429270473,0.2824331175925785,2.8210137355476883,0.26664333849636795,1.6840581604344713,0.26500856583687704,2.631936602127639,0.20846533006978996,1.434168627259923,0.25453890079107677,2.3157587826852626,0.17310225288550074,1.2701650813890928,0.23917389610798345,1.986744666814185,0.15338159713103966,1.146768293992804,0.21683641648386826,1.688393524856841,0.13697177938469987,1.0387420836497014,0.19195109616516287,1.433445566157445,0.12188073027886816,0.9305593032324941,0.16716889446178257,1.2176974938979577,0.10859570315744857,0.8238757641029344,0.14552157353614745,1.0358136275774823,0.09782549169173753,0.7233968200770703,0.12859913851009416,0.8847897980883377,0.08874059069044567,0.6340738383107307,0.11652062199501834,0.7611571999526145
60476287,3788909,WY,YFT,HHN,HHE,01,44.5131667,-110.5951667,20.341379827985783,70.17259242301972,3.49,0.11810871272174372,-1.1596337418534237,0.7932061167575387,0.17506756084179464,-1.0859100207613284,1.4342486443910454,1.428783068452304,-4.966478013374343,4.1836084167271945,1.4142897338657168,-4.440387030619944,4.731920430679476,4.0,0.012016239772342058,11.0,0.06317908174344793,3.0,0.025865008990978596,11.0,0.07786038047579853,l,1.7,0.028882382968613132,0.12130317585602099,0.02330581073297192,0.14591486824030467,0.03175385286833857,0.32586359551922134,0.05505250829171804,0.262585363629005,0.058278115506850345,0.3350522483997246,0.05650348717162349,0.324510591001089,0.045383397551281304,0.2978952667843052,0.05123038802620643,0.24994404427106806,0.039325776689195,0.31334117398530087,0.040509613481234295,0.2776360228453689,0.03513255527430835,0.34245948411387334,0.0488686089957458,0.32335648271810835,0.03516484135644948,0.385950400595707,0.052104470875626904,0.3391056574988677,0.037435553369666946,0.42813681768028194,0.048172500574038726,0.3589719235997573,0.0371337945307399,0.43469876924461126,0.04553125097367502,0.36070623296302423,0.03489974763025807,0.4061389515143001,0.04398703900338507,0.3449576434917174,0.031725960055035,0.36726649590927285,0.0438602958216852,0.3341548263691402,0.03028239642105296,0.326846958890085,0.042624586507027155,0.3253718124015113,0.030669730996761495,0.29296169979624537,0.0413574672754389,0.31646345801638787,0.03255443192240536,0.26472428561585193,0.04096533634447273,0.30619979004356795,0.03430090547519158,0.24212946729233512,0.04085932184238753,0.2926758793437943,0.03466639195108254,0.22353322576709594,0.0399733898039093,0.2749573735285445,0.03376573319946039,0.2060119982208584,0.0385830600662376,0.25388997209415604,0.0321175373980604,0.18892410879853086,0.0368214326737544,0.23146428209830644
60476287,3788944,WY,YTP,HHN,HHE,01,44.5131667,-110.5951667,28.12936533375603,298.7497388271454,3.49,0.003332290798024846,-0.15048031721738694,0.12278170716168116,0.0026683200154416016,-0.15171322840947143,0.11402690704161786,0.01569042819625547,-0.34226764329233267,0.5404739022111557,0.007438460419308114,-0.2107998848567327,0.3458130887927161,3.0,0.0024482133766424814,7.0,0.009318850233926276,6.0,0.0024172713106021997,7.0,0.005639848295994723,l,1.7,0.0099004086853985,0.01758972899612628,0.008207650551881461,0.02874782873768879,0.008066838910732527,0.03415742311237316,0.008696759108083837,0.0208946520132516,0.010795927252693021,0.03300974958332184,0.007413771386494534,0.025787797543645123,0.010795828929201412,0.04053557200990235,0.010046544062572086,0.031242705948527065,0.009112017570039104,0.043955750274102874,0.008658945115758767,0.03231805529558191,0.0069322019086738955,0.04530094951805441,0.007073226958075639,0.031241075878780927,0.005772995060493565,0.04623830414527341,0.005284000826481921,0.03213765624677156,0.0065958226581096695,0.047427417300888855,0.004644274969554879,0.031344395982472156,0.007112960429416442,0.044837029243477794,0.004613019651352773,0.027836307625993966,0.006886268045703654,0.04044596297884273,0.004580361088063341,0.02368631145733319,0.00633878957264783,0.03511045102533408,0.004522418772461753,0.020814533419787774,0.0058138866025730105,0.03024315853258496,0.004538905077932557,0.019719669203550658,0.005331481567228955,0.026065774241148063,0.004477654103463835,0.019154560703437087,0.004846230391091291,0.022640653655359326,0.004293975886350345,0.018199371309457115,0.004332692253483161,0.019966248478882773,0.003998300486231588,0.016767232428780438,0.0038135532480419415,0.01782153287641249,0.003646837077340751,0.015098760402324184,0.0033232215832193386,0.015954265710996056,0.0032811551227149207,0.013401845941222845,0.00288078909237296,0.014241047871804077,0.0029069273663277395,0.011826170393168271
60476287,3788954,WY,YPP,HHN,HHE,01,44.5131667,-110.5951667,31.659217985563515,31.71797188084355,3.49,0.13644102729728774,-1.0100107193884171,0.8828497360511237,0.3773607186505052,-1.9856456338200177,1.8765650941895187,3.6349659589722725,-5.463515975934691,6.144515715671646,4.258486671102629,-5.3025266200709575,5.931958488660467,4.0,0.029282435169591687,10.0,0.08958383263045933,13.0,0.034546455385230136,16.0,0.09406540030698149,l,1.7,0.012203483922256645,0.03319495585315166,0.01923057766519569,0.05381771378499842,0.016095046959697053,0.11900040352243073,0.021345520022367982,0.1629801563190246,0.033892293678520105,0.2609622296248395,0.02659904551634975,0.2551352757733133,0.04210289894431005,0.40219587224392694,0.03868691360069913,0.27440989622147793,0.046573530446798544,0.5745622013938138,0.03508318845385078,0.37888437203241276,0.052635348975233184,0.606674193114417,0.039786442049759646,0.4893487736700614,0.04873393346639507,0.5139812095186309,0.049917175957789335,0.536143197188859,0.043551408663584285,0.538678460670199,0.05886530496802747,0.5669990278002291,0.04528807805246818,0.604239358142715,0.07233836292983627,0.6528327544735154,0.0470956049210603,0.6365238983604808,0.0862527807993516,0.7482162093469854,0.04780967355290072,0.6340625563616262,0.09524761120299413,0.7924034520528187,0.04778822825237932,0.6260254582696004,0.09600873234013067,0.7922522648116241,0.046462274900087114,0.619387083313811,0.090787326572929,0.7793933373085874,0.044202149539781695,0.6029716761024748,0.08275876875828396,0.747612970201726,0.041840313673002456,0.5776639823066956,0.07479652915694629,0.6976021853097869,0.03996632025838529,0.5437102614953214,0.06839335094082015,0.6378865225827696,0.03817480449531839,0.5048725897162488,0.06297837895972938,0.573728367578247,0.036305319358299476,0.46183510827574004,0.05781681946510732,0.5099075833330741
60476352,3789349,WY,YNM,HHN,HHE,01,44.7893333,-110.8123333,11.078753056871369,309.1074296612275,8.12,547.2803977500503,-61.04663023507794,57.875105716926264,1310.3422651038059,-97.83711885117994,98.67309093906974,14894.885671697495,-588.0353008852669,483.71996078757576,15653.044259206734,-417.55366574280123,619.5467233903405,3.0,1.0468445570420775,14.0,8.450001175375553,15.0,1.4857383369973,12.0,6.7346460857351245,l,2.52,0.22754014463989636,0.9690898034682155,0.3746833173574326,1.7293429262921387,1.3559436597307764,4.208461418033718,1.3319412888966626,8.52928481814992,1.740764383939066,13.274762221680543,1.2790034841708176,17.99335958594825,2.007314248409519,18.41418206832527,1.455549130568586,21.474972489227348,2.0486992432141347,23.824121566443132,2.333498968822539,20.597829239222975,2.5838314667804245,31.21600480367266,3.3559614219818394,25.777883099002775,2.4718459662166206,35.620529106633256,3.3394649913518846,36.7412483413148,2.299093967601565,36.34055785973352,3.421247008478747,42.134922364568695,2.3435062559904076,34.4084409579187,3.2440652297974872,40.69652904574854,2.572781280542987,32.183043267291595,2.9683317383285863,38.20250331979183,2.9084225415844185,32.28904903962079,3.552121576937596,37.040494351965364,3.2001993694532627,34.01169386688075,4.616025797345099,36.98654948000629,3.365513623126661,35.867617950283496,5.4862979329051935,38.414326002654725,3.3720336004398948,36.83631801005615,5.944527829914429,39.506300922811505,3.2450275586002917,36.62346309524199,5.946662717259717,38.99248437152721,3.0260753769341817,35.46806086085698,5.6200674203579135,37.27661822872075,2.757818123847856,33.44899558893761,5.112417675770633,34.95491335984975,2.4910902926887077,30.85462227082691,4.539777523700581,32.301129244800045
60476352,3789404,WY,YUF,HHN,HHE,01,44.7893333,-110.8123333,25.287500174122624,289.81259888656746,8.12,12.285094966796297,-7.258258314124712,9.304134287689648,5.734217772362367,-6.513504486518937,6.223603126442314,145.31160394766837,-29.812044703316385,30.186419781880446,118.2890672486445,-29.82002037596141,30.139346349192977,3.0,0.2167608928118553,6.0,0.5383942706606291,3.0,0.13538880293099523,6.0,0.5952720653594067,l,2.52,0.05330285637019948,1.0184061472379926,0.11806133485142627,0.8013704936766973,0.1977495965192101,2.6146070725495885,0.21236961627439876,2.9353897595892002,0.6722950024412286,6.359030919235578,0.20181052300013394,4.909828702827887,0.6568186660227558,5.587762871953431,0.3193403380725278,4.493262321543403,0.6560467166658424,5.651932130495718,0.5187353684151833,5.315313058576108,0.6174241141327391,5.381461980402872,0.4998002599290782,5.150976856905839,0.4932112991487463,4.700044368635248,0.3826154523026374,4.310020203291099,0.4431409296005341,4.1942456467701215,0.29724110646814644,3.6363364591020124,0.4369043406030385,3.8910528873787595,0.25083252345442303,3.180831180655384,0.4103038803554235,3.5661019458856567,0.23192936507205383,2.8073829791825635,0.36472746165245035,3.196557837784381,0.2239897238889319,2.4203829996907706,0.32311160305155384,2.798759153873731,0.21939776531836924,2.064638024857448,0.28808489321291236,2.437202866048097,0.21779292874599818,1.7642020260657885,0.2590679848436131,2.0986794415179943,0.21508745654794093,1.534118970172952,0.23524537510658877,1.7918978840954953,0.20794461463555666,1.3584439993125068,0.2140004574419231,1.5293285133411234,0.19479894954627086,1.2098350792032855,0.19222262722571076,1.3090517345171044,0.17713851111066814,1.0739688911837002,0.17051022324562734,1.12439114557334,0.15767243415901666,0.9477523608115968
60476352,3789419,WY,YHB,HHN,HHE,01,44.7893333,-110.8123333,30.687680103990367,81.84374610363643,8.12,1.652642442464755,-4.357786734735128,4.1784692052126955,1.5518962056630161,-2.907860142585009,3.0834522888591342,15.69966540313802,-16.644538449110392,14.089917408382878,35.72702694136714,-15.598374929726806,20.501159955619222,3.0,0.09737059848465038,5.0,0.3674948034348296,3.0,0.1329778072010261,3.0,0.5604109547720281,l,2.52,0.03405721743982118,0.4340438041715589,0.13072606904353587,1.0044862298007102,0.09139584289224698,0.8725284167898756,0.1769734372947863,1.90153914105246,0.19270854263166676,1.7527182333408324,0.26018654633511323,3.6465760955504223,0.1336980242660163,1.8709847752991051,0.24070096730106144,3.278300640961874,0.16729105435449043,1.696475748872252,0.19496544491535256,2.37183922462631,0.1766130533032639,1.3734467077188706,0.20136581997503655,2.152758764214704,0.1822479342893929,1.1449591443951916,0.18707485761751896,1.788749180655836,0.1800312870814238,1.0379882848006399,0.1540150070015616,1.4374223192012723,0.16083516128221306,0.9276326176418368,0.11854404621386155,1.1315871080906308,0.14462793997629841,0.7990207615498085,0.09763373332563502,0.8971726105039891,0.14342930043333774,0.673879931508261,0.09617278970454671,0.7493157043705232,0.15094229908783954,0.57191560448896,0.10274333447128384,0.6559613709877179,0.1556369188192174,0.4984290007534903,0.10816132695363426,0.5791150726252875,0.15265546534778213,0.4438206808036843,0.10829400089091662,0.5071275007942544,0.1430381846307271,0.39689804558009806,0.10378312080654384,0.4413395146438124,0.12997296757418547,0.3535056542988252,0.09613613095555047,0.3843346677490121,0.11560217324003373,0.31166931310045487,0.08719125859687597,0.3348281290381321,0.10150003881086499,0.27145801274047177,0.07807511409320643,0.2906639434643763
60476352,3789434,WY,YFT,HHN,HHE,01,44.7893333,-110.8123333,37.6066644289787,2.8340935336844097,8.12,1.2200557859799248,-2.0696609683038387,2.609909715434571,1.8171167398884396,-2.696522359576388,2.761548457218382,6.39460861348284,-11.225626634375129,7.28797671884041,11.262665110182255,-13.173032820225947,9.599859768518503,2.0,0.0940132751721931,4.0,0.14203406789448908,5.0,0.08351204396195863,8.0,0.21820683414057784,l,2.52,0.05897438786274424,0.6851737094489194,0.11223062618938344,0.48024457327372627,0.1989019275730648,1.2169126177294822,0.19865780225512233,1.373976036742074,0.18122741606786913,1.109168795856504,0.17682716037971147,1.8221033478136792,0.21230715436738865,1.1127269777314939,0.3196739434519019,1.2149634922176415,0.20671356347613679,0.9972517831539521,0.3378310312518941,1.043346074193269,0.1785602376705312,0.8702573184822161,0.24850900553817418,1.1490548328948218,0.17416247495869103,0.8080993180398718,0.185745190509765,1.272746535136256,0.16123128337517087,0.7851041251911285,0.1435222805860381,1.2644591185386842,0.1444367434831198,0.7628319339610123,0.11163374907113638,1.1431521776981548,0.13030499990315025,0.7106533751587505,0.0931816095494416,0.9922464989295321,0.11580214078156298,0.6342775218880541,0.08471790725981138,0.8488957644188472,0.10235814838347328,0.5503877145588969,0.077113383437594,0.712103565626073,0.0881263208817285,0.46905057044431214,0.06957467745998486,0.5926917469453334,0.07465733503326309,0.3972292236810689,0.06251389778607096,0.4937081857279535,0.0632453933421885,0.3343360573492718,0.055833905279463254,0.4114508118376793,0.05357214844853402,0.28050055915571126,0.04995873882009486,0.3433882329115338,0.045384710897017407,0.23526377361130205,0.04464943468543599,0.2872502947678683,0.038519292531055335,0.19757746166391357,0.039771195042671355,0.2410556261106538
