network,station,receiver_lat,receiver_lon
WY,YDC,44.7095,-111.23967
WY,YHH,44.78833,-110.8505
WY,YMR,44.66867,-110.965
WY,YHB,44.7508,-111.1962
PB,B207,44.619,-110.8485
WY,YPP,44.271,-110.8045
WY,MCID,44.19033,-111.18266
WY,YWB,44.60583,-111.10083
WY,YPM,44.65717,-110.86867
PB,B944,44.3897,-110.5438
TA,H17A,44.3951,-110.5762
WY,YTP,44.39183,-110.285
WY,YLT,44.437,-110.588
PB,B208,44.5602,-110.4015
WY,YLA,44.51266,-110.26867
US,LKWY,44.5652,-110.4
IW,IMW,43.893,-110.9434
WY,YHL,44.8509,-111.183
IW,REDW,43.3624,-110.8518
WY,YML,44.60533,-110.64317
PB,B206,44.7177,-110.5117
WY,YUF,44.7126,-110.5117
WY,YNE,45.0076,-110.008
WY,YMP,44.74017,-110.156
MB,CRMT,45.45583,-110.1402
WY,YNR,44.7155,-110.67917
WY,YFT,44.45133,-110.83583
WY,YGC,44.79617,-111.1065
WY,YPK,44.7318,-109.921933
IW,MOOW,43.7486,-110.7448
IW,TPAW,43.4897,-110.9567
MB,QLMT,44.83067,-111.43
WY,YMS,44.264,-110.52783
IW,SNOW,43.4599,-110.7541
WY,YMC,44.75933,-111.00616
PB,B945,44.894,-110.7441
WY,YMV,44.97367,-110.68884
WY,YNM,44.7265,-110.7037
MB,BGMT,45.233333,-112.0405
MB,TPMT,44.72983,-111.6657
US,BOZ,45.59697,-111.62967
MB,MOMT,44.59333,-112.3943
IE,ECRI,43.054001,-111.371002
IE,HHAI,43.295,-112.3795
WY,YJC,44.7555,-110.34917
WY,YSB,44.884,-110.151
WY,YPC,44.648,-110.1925
PB,B950,44.7128,-110.6785
US,BW06,42.7667,-109.5583
WY,YHR,44.106,-110.0816
IW,FLWY,44.083002,-110.699888
IW,LOHW,43.6124,-110.6038
IE,GRRI,42.938,-111.422
WY,YEE,44.4853,-109.8969
WY,YDD,44.3951,-110.5762
US,RLMT,45.122101,-109.267303
IE,GBI,43.986041,-112.064334
IE,TMI,43.305,-111.918
MB,BZMT,45.64817,-110.7967
WY,YNB,44.72741,-110.71121
MB,ECMT,45.321184,-110.739816
US,AHID,42.7654,-111.1004
IE,DVCI,44.38309,-114.03858
GS,ID05,42.6429,-111.459
GS,ID08,42.896,-111.8389
RC,CMI,44.5165,-111.6175
IM,PD31,42.7672,-109.558098
IE,PTI,42.869647,-112.372065
IE,SKII,43.320164,-111.929816
