Station,Count
YNR,5017
YHH,5007
YMC,4451
YMR,4238
YPM,4201
YWB,3855
MCID,3714
YHB,3654
YFT,3638
YHL,3421
YML,3316
YDC,3154
YGC,2176
B207,1989
YUF,1784
YPP,1673
YLT,1567
LKWY,1294
YTP,1092
YNM,1061
QLMT,982
FLWY,871
YLA,851
B206,846
YMV,703
B950,691
H17A,669
B208,660
YDD,614
YMS,515
TPMT,505
YJC,502
B944,455
YPC,421
YPK,358
B945,354
YNE,314
IMW,310
BOZ,271
YSB,267
CRMT,266
LOHW,209
BGMT,181
YMP,165
SNOW,119
MOOW,113
YEE,88
TPAW,68
YHR,68
BZMT,60
MOMT,59
REDW,51
RLMT,15
BW06,11
AHID,11
HHAI,2
PTI,2
ECRI,1
GRRI,1
ID08,1
