evid,event_lat,event_lon,event_depth,origin_time,magnitude,magnitude_type,rflag,utc
60000005,44.7433333,-111.0675,5.48,1349112414.3600006,-0.2,d,F,2012-10-01 17:26:54.360001+00:00
60000010,44.4381667,-111.032,6.05,1349101480.459999,0.35,d,F,2012-10-01 14:24:40.459999+00:00
60000050,44.276,-110.6456667,2.18,1350620998.239998,1.15,d,F,2012-10-19 04:29:58.239998+00:00
60000060,44.3461667,-110.3273333,9.44,1350808353.6599998,1.34,d,F,2012-10-21 08:32:33.660000+00:00
60000065,44.395,-111.0218333,4.71,1350274470.209999,0.82,d,F,2012-10-15 04:14:30.209999+00:00
60000075,44.3766667,-111.0036667,1.91,1350270581.1399994,1.31,d,F,2012-10-15 03:09:41.139999+00:00
60000085,44.6286667,-110.6593333,2.29,1351390074.5099983,1.12,d,F,2012-10-28 02:07:54.509998+00:00
60000092,44.6751667,-110.04,15.39,1349085936.0999985,0.25,d,F,2012-10-01 10:05:36.099998+00:00
60000095,44.6203333,-110.652,7.28,1351385401.39,1.79,d,F,2012-10-28 00:50:01.390000+00:00
60000096,44.4598333,-110.9865,5.97,1349101495.7599983,1.11,d,F,2012-10-01 14:24:55.759998+00:00
60000097,44.4423333,-111.0166667,16.18,1349101224.8799992,0.93,d,F,2012-10-01 14:20:24.879999+00:00
60000101,44.4455,-111.051,6.0,1349101654.7000008,1.39,d,F,2012-10-01 14:27:34.700001+00:00
60000110,44.6078333,-110.4208333,2.09,1351601545.8999996,-9.99,h,F,2012-10-30 12:52:25.900000+00:00
60000115,44.619,-110.6543333,4.44,1351385462.64,2.6,d,F,2012-10-28 00:51:02.640000+00:00
60000120,44.6018333,-110.644,5.07,1351385448.0999985,1.25,d,F,2012-10-28 00:50:48.099998+00:00
60000127,44.4506667,-111.033,5.96,1349103562.7999992,1.47,d,F,2012-10-01 14:59:22.799999+00:00
60000167,44.7373333,-111.0735,10.51,1349112406.209999,-0.17,d,F,2012-10-01 17:26:46.209999+00:00
60000205,44.2601667,-110.6628333,7.72,1352680111.1499996,1.22,d,F,2012-11-12 00:28:31.150000+00:00
60000210,44.2681667,-110.6808333,8.66,1352680137.459999,1.41,d,F,2012-11-12 00:28:57.459999+00:00
60000215,44.2656667,-110.6618333,4.37,1352680179.579998,1.22,d,F,2012-11-12 00:29:39.579998+00:00
60000305,44.8031667,-111.1305,2.29,1353560665.0199986,-9.99,h,F,2012-11-22 05:04:25.019999+00:00
60000310,44.2471667,-110.7741667,2.84,1353560687.8199997,1.64,d,F,2012-11-22 05:04:47.820000+00:00
60000320,44.5988333,-110.4243333,1.55,1353941648.67,-9.99,h,F,2012-11-26 14:54:08.670000+00:00
60000325,44.5803333,-110.4256667,3.29,1353941279.6099968,-9.99,h,F,2012-11-26 14:47:59.609997+00:00
60000330,44.6055,-110.3776667,2.47,1353941576.459999,-9.99,h,F,2012-11-26 14:52:56.459999+00:00
60000340,44.5718333,-110.8071667,2.31,1354643093.119999,1.32,d,F,2012-12-04 17:44:53.119999+00:00
60000350,44.4865,-110.57,6.44,1354887139.25,0.79,d,F,2012-12-07 13:32:19.250000+00:00
60000355,44.4963333,-110.5623333,8.68,1354887123.04,0.88,d,F,2012-12-07 13:32:03.040000+00:00
60000360,44.4783333,-110.5623333,6.34,1354887382.58,0.9,d,F,2012-12-07 13:36:22.580000+00:00
60000365,44.769,-111.0248333,2.32,1355085938.5900002,-9.99,h,F,2012-12-09 20:45:38.590000+00:00
60000382,44.0435,-110.3968333,8.76,1349352091.5299988,1.28,d,F,2012-10-04 12:01:31.529999+00:00
60000385,44.3551667,-110.6678333,3.09,1355426831.7199993,1.36,d,F,2012-12-13 19:27:11.719999+00:00
60000390,44.3555,-110.6588333,3.39,1355426863.7700005,-9.99,h,F,2012-12-13 19:27:43.770000+00:00
60000395,44.3451667,-110.6558333,2.31,1355426873.239998,-9.99,h,F,2012-12-13 19:27:53.239998+00:00
